Location,Area,Rainfall,Temperature,Soil_Type,Nitrogen,Phosphorus,Potassium,Humidity,Yield(kg/ha),Season
Bhalki,525,1172.76,21.23,Black Soil,68,26,32,81.68,4700,Kharif
Aurad,1296,1371.73,27.32,Red Soil,60,49,54,94.28,4700,Kharif
Aurad,1121,1450.23,29.9,Red Soil,54,22,43,70.93,4700,Kharif
Bidar,395,1310,30.22,Black Soil,63,48,31,93.47,4700,Kharif
Bidar,1427,1045.64,21.92,Black Soil,58,41,47,65.21,4442,Kharif
Humnabad,715,1264.71,26.83,Laterite Soil,58,46,32,86.74,4700,Kharif
Basavakalyan,848,1481.97,31.15,Laterite Soil,66,34,38,82.15,4700,Kharif
Basavakalyan,1064,1492.53,24.14,Black Soil,48,25,40,88.59,4700,Kharif
Aurad,430,1285.42,25.53,Black Soil,78,35,55,61,4700,Rabi
Humnabad,216,1432.19,30.46,Black Soil,62,36,32,62.73,4700,Kharif
Humnabad,324,1020.21,21.16,Red Soil,78,21,34,62.44,4525,Kharif
Bhalki,1364,1047.65,31.17,Red Soil,62,29,38,80.75,4301,Kharif
Bidar,434,1471.73,24.05,Red Soil,75,30,39,81.1,4700,Kharif
Bhalki,454,981.14,20.02,Black Soil,64,47,35,91.71,4516,Kharif
Basavakalyan,1024,1014.66,23.04,Laterite Soil,54,46,35,76.37,4379,Kharif
Humnabad,942,1152.33,21.16,Laterite Soil,47,25,40,62.38,4576,Rabi
Basavakalyan,556,1253.75,21.2,Red Soil,65,37,46,67.33,4700,Kharif
Bidar,481,1262.29,29.01,Red Soil,54,34,56,60.28,4611,Kharif
Bidar,454,1075.19,22.78,Black Soil,51,35,31,87.19,4520,Kharif
Bidar,1068,1452.37,32.15,Black Soil,66,49,38,88.55,4700,Kharif
Basavakalyan,818,1449.06,26.71,Laterite Soil,67,32,53,94.93,4700,Kharif
Humnabad,922,1135.24,25.98,Laterite Soil,56,35,47,74.43,4527,Kharif
Bhalki,700,1160.58,25.65,Black Soil,57,21,34,60.68,4532,Kharif
Humnabad,1144,1321.5,29,Laterite Soil,57,39,50,68.22,4700,Kharif
Humnabad,1203,1297.8,25.88,Laterite Soil,77,31,35,80.57,4700,Kharif
Aurad,589,1129.38,21.67,Red Soil,75,48,33,93.67,4700,Kharif
Humnabad,407,1148.55,31.44,Black Soil,72,33,38,63.63,4467,Kharif
Bhalki,932,1108.82,25.57,Black Soil,63,27,34,64.26,4491,Kharif
Aurad,712,1041.23,20.96,Black Soil,65,25,33,84.56,4578,Kharif
Humnabad,383,1174.88,26.88,Red Soil,76,33,59,83.35,4700,Kharif
Aurad,175,1311.86,28.42,Black Soil,70,43,38,68.77,4700,Rabi
Humnabad,672,1345.18,23.58,Laterite Soil,57,34,47,88.46,4700,Kharif
Bidar,533,1367.32,30.4,Red Soil,73,39,56,64.51,4700,Kharif
Bidar,542,1124.84,28.71,Red Soil,51,46,40,92.4,4482,Kharif
Humnabad,611,1358.78,28.45,Black Soil,70,22,45,67.04,4700,Kharif
Aurad,988,903.91,25.47,Laterite Soil,50,26,31,62.85,4041,Kharif
Bhalki,1311,1186.23,32.5,Black Soil,76,35,58,71.88,4566,Kharif
Bidar,886,1376.34,23.56,Laterite Soil,67,42,45,66.57,4700,Kharif
Aurad,259,1278.03,27.51,Black Soil,55,21,48,78.44,4700,Kharif
Bhalki,355,1184.44,24.02,Laterite Soil,65,36,39,84.04,4700,Kharif
Aurad,1244,1286.79,29.68,Laterite Soil,63,30,33,77.18,4700,Kharif
Humnabad,359,1444.17,20.62,Laterite Soil,78,43,41,83.12,4700,Kharif
Bidar,334,1239.83,20.6,Red Soil,79,22,55,72.77,4700,Kharif
Bidar,751,1379.87,30.54,Black Soil,75,41,38,60.98,4700,Kharif
Bidar,908,1488.45,25.65,Black Soil,73,42,42,94.09,4700,Kharif
Humnabad,894,1323.34,24.44,Black Soil,50,27,34,88.68,4700,Kharif
Bhalki,1040,1244,27.9,Red Soil,75,41,31,62.57,4700,Rabi
Bhalki,548,922.49,29.12,Laterite Soil,76,42,32,75.72,4191,Rabi
Bidar,694,1124.69,22.62,Red Soil,64,40,37,82.23,4671,Kharif
Bhalki,1056,1239.27,22.41,Red Soil,66,38,35,66.67,4700,Kharif
Bidar,831,1378.32,32.46,Laterite Soil,47,37,58,80.23,4700,Kharif
Bhalki,1127,1162.86,27.67,Black Soil,52,26,34,78.68,4528,Kharif
Bidar,463,1476.03,25.07,Red Soil,63,35,33,67.29,4700,Kharif
Bhalki,377,1063.08,30.42,Laterite Soil,75,43,49,64.94,4362,Kharif
Aurad,807,1346.74,26.83,Laterite Soil,76,33,45,86.56,4700,Kharif
Bidar,1319,1151.42,23.14,Black Soil,59,27,37,71.29,4633,Kharif
Bidar,1195,1191.59,22.69,Laterite Soil,75,32,41,68.54,4700,Kharif
Basavakalyan,841,1381.5,25.16,Laterite Soil,47,22,51,85.83,4700,Rabi
Bidar,449,1077.73,31.18,Laterite Soil,76,21,34,85.76,4459,Kharif
Bhalki,1076,958.09,20.8,Black Soil,54,32,34,69.67,4307,Rabi
Aurad,1438,1212.15,22.84,Black Soil,72,44,51,90.54,4700,Kharif
Aurad,1223,1217.28,31.61,Laterite Soil,71,41,42,84.09,4663,Kharif
Bhalki,891,1378.3,21.58,Laterite Soil,75,45,40,72.1,4700,Kharif
Humnabad,210,1480.99,28.19,Black Soil,78,22,40,74.96,4700,Kharif
Bidar,1192,933.18,22.78,Black Soil,49,40,48,85.43,4245,Kharif
Aurad,457,1255.01,27.88,Black Soil,55,20,36,67.41,4661,Kharif
Bhalki,686,1308.77,24.98,Red Soil,51,21,46,76.41,4700,Kharif
Aurad,1380,1491.48,21.32,Black Soil,52,44,34,82.87,4700,Kharif
Aurad,1498,1465.55,27.57,Laterite Soil,61,29,35,78.88,4700,Kharif
Bhalki,224,1327.47,28.88,Black Soil,58,30,58,81.29,4700,Kharif
Basavakalyan,1454,1213.07,28.84,Laterite Soil,68,45,59,79.12,4687,Kharif
Aurad,1248,996.91,28.28,Laterite Soil,74,22,47,66.97,4299,Kharif
Aurad,743,1130.51,26.5,Laterite Soil,59,43,47,74.36,4523,Kharif
Humnabad,758,1251.07,26.75,Black Soil,48,45,38,78.62,4685,Kharif
Basavakalyan,761,1335.12,28.26,Black Soil,57,27,47,87.3,4700,Kharif
Humnabad,1170,1281.24,28.97,Black Soil,49,34,48,82.89,4700,Rabi
Bhalki,934,1328.47,28.51,Black Soil,75,24,46,74.93,4700,Kharif
Bidar,390,1157.49,27.63,Black Soil,56,27,38,94.1,4605,Kharif
Bhalki,154,1336.58,22.03,Red Soil,74,37,30,63.77,4700,Kharif
Basavakalyan,1388,986.24,22.74,Black Soil,54,37,49,67.24,4299,Kharif
Bhalki,636,997.55,23.38,Red Soil,74,31,52,71.95,4442,Kharif
Basavakalyan,506,997.7,31.96,Laterite Soil,70,23,47,68,4188,Kharif
Humnabad,543,1434.52,29.87,Laterite Soil,50,27,53,81.89,4700,Kharif
Aurad,1328,945.62,27.19,Laterite Soil,71,21,42,61.38,4193,Kharif
Bhalki,518,1380.91,23.28,Laterite Soil,64,39,37,66.21,4700,Kharif
Bhalki,178,1040.14,21.44,Red Soil,72,43,57,70.27,4549,Kharif
Aurad,1115,1181.06,31.68,Red Soil,64,22,43,83.92,4553,Kharif
Bhalki,158,1449.57,31.6,Laterite Soil,56,27,32,90.66,4700,Kharif
Bhalki,1373,1251.56,21.44,Black Soil,65,31,33,87.95,4700,Kharif
Bidar,483,1026.07,30.36,Laterite Soil,74,21,40,66.37,4297,Rabi
Bidar,1099,1070.45,25.81,Laterite Soil,54,49,36,79.79,4424,Kharif
Aurad,379,1452.27,24.21,Red Soil,49,36,50,61.05,4700,Kharif
Humnabad,542,1156.29,29.61,Laterite Soil,52,33,34,70.87,4436,Kharif
Bhalki,1481,1252.19,27.99,Red Soil,74,33,31,88.21,4700,Rabi
Bhalki,928,1175.96,30.14,Red Soil,61,49,35,75.98,4533,Kharif
Humnabad,1356,1127.06,20.97,Laterite Soil,47,25,49,65.25,4547,Kharif
Bhalki,536,1033.97,24.14,Black Soil,65,27,34,75.35,4449,Kharif
Humnabad,258,1311.71,24.15,Red Soil,60,44,44,66.93,4700,Kharif
Aurad,488,1330.95,24.29,Red Soil,76,29,40,73.76,4700,Kharif
Aurad,1373,1064.93,26.53,Red Soil,71,43,34,77.07,4487,Kharif
Humnabad,1354,1373.41,23.68,Laterite Soil,50,37,47,72.23,4700,Kharif
Humnabad,714,1412.72,25.78,Laterite Soil,60,20,37,92.79,4700,Kharif
Basavakalyan,982,1452.41,24.78,Red Soil,47,26,40,79.69,4700,Kharif
Bidar,1213,996.73,29.56,Black Soil,64,26,46,89.5,4297,Kharif
Bidar,371,1082.35,27.85,Laterite Soil,51,32,43,86.63,4404,Kharif
Bhalki,446,1416.21,28.5,Black Soil,55,35,31,83.14,4700,Kharif
Bhalki,1202,1019.12,22.74,Black Soil,73,31,36,77.39,4513,Kharif
Humnabad,1076,902.08,24.23,Laterite Soil,47,48,52,60.08,4040,Kharif
Humnabad,1375,1422.5,20.28,Red Soil,65,38,47,81.47,4700,Kharif
Bidar,1144,1095.87,21.41,Black Soil,76,25,30,72.46,4683,Kharif
Bhalki,1138,1148.7,23.45,Red Soil,74,26,59,64.12,4681,Kharif
Bidar,634,1167.8,20.85,Black Soil,55,49,44,75.56,4700,Kharif
Aurad,279,1408.96,27.83,Red Soil,61,44,58,85.74,4700,Kharif
Bidar,197,1102.74,32.98,Laterite Soil,69,36,55,93.66,4449,Kharif
Bidar,976,1435.37,21.31,Black Soil,69,48,30,73.09,4700,Kharif
Humnabad,749,1270.16,30.68,Black Soil,53,38,59,79,4653,Kharif
Bhalki,919,1216.37,21.54,Black Soil,73,24,46,89.79,4700,Kharif
Aurad,720,1095.37,28.71,Red Soil,59,22,51,71.69,4394,Kharif
Bidar,606,1046.23,28.36,Black Soil,63,43,55,64.98,4312,Kharif
Bidar,1222,1274.44,31.74,Black Soil,59,45,57,69.87,4633,Kharif
Humnabad,877,1168.14,21.48,Red Soil,79,41,36,91.47,4700,Kharif
Basavakalyan,1249,1446.31,24.1,Red Soil,57,37,45,65.58,4700,Kharif
Bhalki,1421,1194.98,21.18,Laterite Soil,60,36,31,71.52,4700,Kharif
Bhalki,439,1207.08,25.3,Red Soil,47,45,44,76.26,4627,Kharif
Bhalki,684,1150.03,31.85,Black Soil,75,40,51,89.65,4582,Kharif
Bidar,585,1373.56,30.16,Black Soil,45,30,49,92.82,4700,Kharif
Bidar,977,1154.9,29.4,Laterite Soil,79,44,58,74.9,4617,Kharif
Bidar,1269,1061.61,26.93,Laterite Soil,60,45,54,92.62,4468,Kharif
Basavakalyan,400,1417.22,31.49,Black Soil,45,28,40,65.65,4700,Kharif
Bidar,390,1258.1,25.84,Red Soil,58,36,53,65.49,4700,Rabi
Bhalki,1073,1254.91,21.95,Black Soil,51,38,53,93.22,4700,Kharif
Bhalki,454,1266.49,30.89,Laterite Soil,67,32,31,77.84,4700,Kharif
Humnabad,706,1331.3,23.64,Black Soil,79,25,40,66.51,4700,Kharif
Basavakalyan,1167,1087.84,20.7,Black Soil,73,40,50,77.08,4686,Kharif
Aurad,1140,920.31,21.64,Black Soil,66,23,45,87.41,4361,Kharif
Bidar,281,1386.36,27.92,Laterite Soil,60,48,31,88.94,4700,Kharif
Aurad,1156,977.34,27.89,Laterite Soil,73,37,48,90.24,4360,Kharif
Bidar,525,1333.09,23.38,Laterite Soil,50,31,45,79.93,4700,Kharif
Basavakalyan,836,949.39,29.45,Red Soil,62,47,37,90.34,4206,Kharif
Basavakalyan,520,1125.18,30.06,Laterite Soil,73,47,50,77.85,4523,Kharif
Bhalki,304,937.82,31.97,Red Soil,69,23,49,81.25,4127,Kharif
Basavakalyan,394,1213.33,27.6,Red Soil,46,24,34,86.56,4616,Kharif
Aurad,691,1291.88,30.13,Laterite Soil,76,31,37,74.89,4700,Rabi
Aurad,831,1002.86,29.79,Red Soil,76,37,55,62.58,4266,Kharif
Basavakalyan,1248,1122.98,23.35,Red Soil,64,45,43,72.26,4610,Rabi
Aurad,1379,1458.14,24.03,Black Soil,77,36,43,81.84,4700,Kharif
Bidar,1046,1165.43,26.22,Red Soil,49,42,52,66.73,4503,Kharif
Humnabad,1020,1381.53,20.25,Red Soil,50,42,51,65.19,4700,Kharif
Bhalki,822,1456.31,23.87,Laterite Soil,66,43,47,70.26,4700,Kharif
Humnabad,1322,1484.61,26.16,Black Soil,65,29,55,61.12,4700,Kharif
Aurad,237,1438.99,21.4,Red Soil,63,25,34,86.02,4700,Kharif
Bhalki,1341,1090.44,21.64,Red Soil,59,36,39,69.06,4552,Rabi
Humnabad,1362,1477.54,26.02,Red Soil,78,27,44,64.35,4700,Kharif
Humnabad,1287,1387.44,29.5,Laterite Soil,51,21,42,84.47,4700,Kharif
Aurad,162,1402.31,30.84,Laterite Soil,61,31,59,89.5,4700,Kharif
Bhalki,1030,909.1,27.1,Black Soil,49,22,38,60.7,3995,Kharif
Bhalki,1143,1472.54,26.17,Red Soil,46,43,54,68.18,4700,Kharif
Humnabad,1330,1366.85,25,Black Soil,71,39,38,93.08,4700,Kharif
Bhalki,1354,1360.78,22.51,Laterite Soil,68,40,48,73.48,4700,Rabi
Bhalki,469,948.91,21.91,Red Soil,72,44,54,92.85,4463,Kharif
Bidar,441,1039.54,30.29,Red Soil,45,46,38,69.6,4162,Kharif
Aurad,772,1477.36,26.05,Black Soil,65,42,34,67.63,4700,Kharif
Aurad,922,1200.41,30.27,Red Soil,72,45,58,67.49,4605,Rabi
Bidar,989,1138.71,29.15,Laterite Soil,47,47,35,62.98,4354,Kharif
Humnabad,1073,1403.96,22.52,Black Soil,74,26,52,91.38,4700,Rabi
Basavakalyan,1342,952.4,26.63,Black Soil,45,20,39,94.29,4195,Kharif
Humnabad,551,1150.17,25.77,Red Soil,62,36,55,93.41,4671,Kharif
Bidar,307,1125.42,25.51,Laterite Soil,77,27,39,89.82,4700,Kharif
Bhalki,533,1109.91,27.05,Red Soil,59,29,35,89.64,4534,Kharif
Bidar,547,1084.62,32.77,Black Soil,68,36,50,83.14,4373,Kharif
Aurad,205,1026.04,30.57,Black Soil,78,35,58,88.92,4406,Kharif
Bhalki,1246,1003.75,31.75,Laterite Soil,70,29,30,67.29,4202,Kharif
Humnabad,1119,1284.24,20.39,Black Soil,66,34,49,73.58,4700,Kharif
Bhalki,909,1451.64,21.82,Laterite Soil,60,35,42,82.43,4700,Kharif
Aurad,622,1205.31,21.1,Red Soil,60,37,59,90.62,4700,Kharif
Bidar,1353,1078.78,23.42,Laterite Soil,49,23,37,83.12,4482,Kharif
Humnabad,343,995.5,25.74,Red Soil,50,44,53,89.37,4305,Kharif
Basavakalyan,946,1398.09,28.35,Red Soil,68,26,57,76.59,4700,Kharif
Basavakalyan,909,1482.9,26.51,Black Soil,74,48,42,85.11,4700,Kharif
Bidar,1402,1109.49,31.74,Red Soil,76,48,35,94.3,4536,Kharif
Humnabad,944,1074.57,32.22,Black Soil,63,31,58,65.37,4268,Kharif
Humnabad,985,1260.9,22.13,Laterite Soil,72,42,48,92.44,4700,Kharif
Bhalki,824,1365.2,31.09,Laterite Soil,52,31,41,78.28,4700,Kharif
Bidar,415,1173.24,26.26,Red Soil,45,45,44,82.51,4555,Kharif
Bhalki,943,1278.04,25.89,Laterite Soil,48,42,37,90.73,4700,Kharif
Bidar,1244,1329.93,30.2,Red Soil,66,40,52,74.34,4700,Kharif
Aurad,240,1476.36,21.21,Laterite Soil,66,20,40,74.65,4700,Rabi
Bidar,1249,999.02,31.47,Red Soil,74,40,38,78.45,4269,Kharif
Bhalki,594,1498.43,28.72,Red Soil,71,43,48,60.67,4700,Kharif
Humnabad,1370,1135.29,31.38,Laterite Soil,71,47,40,77.38,4494,Kharif
Bidar,1357,1333.92,32.93,Laterite Soil,57,31,35,70.19,4700,Kharif
Humnabad,226,1243.45,26.73,Laterite Soil,71,42,44,92.48,4700,Kharif
Aurad,1470,1192,21.21,Laterite Soil,52,26,46,63.07,4679,Kharif
Basavakalyan,471,1318.85,22.16,Red Soil,56,34,41,76.08,4700,Rabi
Basavakalyan,570,1137.45,24.21,Red Soil,68,21,53,93.16,4700,Kharif
Bhalki,695,975.67,21.35,Laterite Soil,62,20,31,91.54,4460,Rabi
Bidar,1479,1193.34,30.6,Laterite Soil,59,23,50,84.55,4575,Kharif
Aurad,495,1213.15,23.86,Black Soil,60,27,51,80.63,4700,Kharif
Aurad,864,1021.14,32.69,Red Soil,77,49,33,69.83,4262,Kharif
Humnabad,874,1461.37,29.13,Red Soil,54,36,54,72.84,4700,Kharif
Bhalki,799,1036.49,22.25,Laterite Soil,68,48,32,63.15,4470,Kharif
Aurad,1434,1145.54,26.19,Black Soil,63,37,31,87.51,4635,Rabi
Bidar,808,992.96,26.07,Laterite Soil,71,42,48,71.34,4346,Rabi
Aurad,298,1221.48,26.4,Red Soil,75,24,34,83.37,4700,Rabi
Basavakalyan,567,1084.58,26.96,Red Soil,65,25,46,72.52,4458,Kharif
Bhalki,1202,1193.56,20.41,Black Soil,60,31,45,76.25,4700,Rabi
Humnabad,915,1034.77,28.92,Laterite Soil,67,43,45,79.43,4359,Kharif
Bidar,1362,932.27,26.33,Black Soil,58,47,55,88.06,4220,Kharif
Basavakalyan,214,1367.54,30.28,Laterite Soil,67,35,41,67.39,4700,Kharif
Aurad,825,1284.65,30.6,Black Soil,62,28,33,73.96,4700,Kharif
Bhalki,373,1104.44,23,Laterite Soil,56,34,46,64.55,4507,Rabi
Bhalki,625,928.5,20.63,Laterite Soil,55,27,54,62.65,4236,Rabi
Bidar,475,1419.35,29.14,Laterite Soil,49,31,59,81.16,4700,Kharif
Humnabad,1365,1001.88,32.71,Red Soil,65,33,48,66.62,4142,Kharif
Basavakalyan,237,1458.45,25.81,Laterite Soil,76,36,31,62.09,4700,Kharif
Humnabad,307,1187.16,23.37,Red Soil,73,33,34,91.4,4700,Kharif
Bidar,1446,1104.23,22.04,Black Soil,51,46,30,78.7,4557,Kharif
Bidar,1089,1345.06,23.74,Laterite Soil,71,39,55,64.71,4700,Kharif
Basavakalyan,431,1426.1,24.26,Red Soil,50,24,43,61.87,4700,Kharif
Bhalki,806,1122.43,25.51,Black Soil,48,32,52,64.2,4427,Kharif
Bhalki,312,1144.41,28.52,Laterite Soil,79,44,38,76.5,4626,Kharif
Basavakalyan,1347,1159.89,23.55,Black Soil,54,25,46,83.4,4656,Kharif
Humnabad,1281,1453.39,20.66,Red Soil,74,33,41,82.44,4700,Kharif
Basavakalyan,1050,1315.54,24.85,Red Soil,53,25,53,65.05,4700,Kharif
Bhalki,1474,1048.59,31.12,Laterite Soil,60,49,53,82.17,4298,Kharif
Humnabad,480,1011,26.48,Red Soil,48,22,52,74.17,4242,Kharif
Aurad,293,1038.22,32.54,Red Soil,70,35,55,76.27,4280,Kharif
Humnabad,1231,1058.14,26.55,Black Soil,73,31,49,88.05,4531,Kharif
Bhalki,1471,1038.11,23.59,Laterite Soil,72,33,59,71.64,4497,Kharif
Bidar,1361,1295.1,22.51,Laterite Soil,55,21,41,65.14,4700,Kharif
Humnabad,589,969.56,29.03,Laterite Soil,72,37,44,90.57,4313,Kharif
Humnabad,637,1132.42,26.97,Black Soil,76,26,45,67.42,4589,Kharif
Bidar,1193,1275.03,27.85,Red Soil,68,24,59,70.29,4700,Kharif
Bhalki,1385,1074.52,29.82,Laterite Soil,51,31,52,84.73,4333,Kharif
Aurad,685,939.16,29.44,Laterite Soil,62,45,47,83.92,4162,Kharif
Aurad,1112,949.09,20.56,Black Soil,47,36,51,88.01,4328,Kharif
Basavakalyan,877,975.58,30.43,Black Soil,64,31,43,66.44,4145,Kharif
Aurad,799,1401.51,26.93,Laterite Soil,78,40,41,72.33,4700,Kharif
Aurad,814,1294.72,25.09,Laterite Soil,74,30,40,64.41,4700,Kharif
Humnabad,1393,938.71,26.99,Black Soil,53,20,44,78.94,4148,Kharif
Basavakalyan,1127,1134.64,27.96,Black Soil,54,28,50,70.24,4448,Kharif
Aurad,1023,1067.15,21.94,Black Soil,50,27,50,84.11,4508,Kharif
Humnabad,322,1246.82,25.43,Black Soil,61,33,56,60.01,4700,Rabi
Basavakalyan,1123,1213.68,24.36,Red Soil,59,23,37,62.09,4677,Kharif
Humnabad,150,1188.67,24.56,Red Soil,77,30,46,75.14,4700,Kharif
Bidar,1198,1088.71,21.19,Laterite Soil,57,36,37,93.54,4646,Kharif
Bhalki,1377,982.68,22.08,Red Soil,66,46,33,91.18,4477,Rabi
Bhalki,1029,1345.43,22.1,Black Soil,60,27,58,94.79,4700,Kharif
Bhalki,1374,1427.91,24.85,Laterite Soil,78,40,39,74.59,4700,Kharif
Aurad,1087,1466.49,31.63,Black Soil,47,20,35,61.63,4700,Kharif
Bhalki,1364,935.17,22.68,Red Soil,52,37,35,70.71,4211,Kharif
Bhalki,1022,1343.95,25.41,Black Soil,64,24,46,83.65,4700,Kharif
Basavakalyan,558,1335.9,24.05,Laterite Soil,68,48,37,64.73,4700,Kharif
Basavakalyan,1477,1468.27,30.24,Red Soil,62,49,42,70.5,4700,Rabi
Basavakalyan,893,1051.75,20.65,Laterite Soil,67,44,44,61.97,4526,Rabi
Aurad,727,1345.31,22.56,Red Soil,45,45,33,76.62,4700,Kharif
Bhalki,231,932.78,22.74,Black Soil,46,27,58,67.31,4155,Rabi
Aurad,752,1278.75,32.91,Laterite Soil,49,46,57,63.19,4525,Kharif
Aurad,696,1110.51,27.42,Red Soil,62,45,54,74.39,4482,Kharif
Aurad,1435,1361.35,21.81,Red Soil,60,27,44,72.29,4700,Kharif
Aurad,326,1417.98,23.54,Red Soil,54,48,52,78.81,4700,Kharif
Aurad,805,1118.89,22.18,Red Soil,73,28,43,86.22,4700,Kharif
Aurad,1388,1215.35,21.62,Black Soil,79,37,40,63.94,4700,Kharif
Bhalki,1137,970.44,30.36,Black Soil,69,26,59,87.69,4252,Kharif
Basavakalyan,290,1150.14,26.44,Red Soil,68,29,49,60.92,4560,Kharif
Humnabad,417,1116.48,28.21,Black Soil,57,40,57,75.51,4448,Kharif
Humnabad,288,1009.87,24.31,Black Soil,65,35,46,80.56,4422,Kharif
Humnabad,1220,1436.69,27.2,Red Soil,78,22,54,93.49,4700,Rabi
Bidar,1233,988.85,23.35,Black Soil,63,29,39,80.09,4394,Kharif
Basavakalyan,710,1281.44,24,Laterite Soil,72,49,35,65.56,4700,Kharif
Bhalki,1234,1434.09,28.48,Laterite Soil,71,27,35,78.11,4700,Kharif
Aurad,1268,1447.18,21.95,Black Soil,70,37,30,73.85,4700,Kharif
Humnabad,880,1375.94,28.02,Red Soil,55,23,34,76.78,4700,Rabi
Basavakalyan,189,1005.68,31.08,Laterite Soil,79,48,33,66.9,4274,Kharif
Bhalki,586,1390.46,21.57,Black Soil,64,31,40,77.53,4700,Kharif
Humnabad,555,1065.94,31.67,Black Soil,56,40,46,65.25,4223,Kharif
Basavakalyan,893,1453.44,21.03,Red Soil,72,24,36,86.04,4700,Kharif
Bhalki,1384,1325.45,24.54,Red Soil,46,23,49,80.79,4700,Rabi
Basavakalyan,187,1371.16,27.94,Black Soil,45,38,32,62.75,4700,Kharif
Aurad,617,951.02,27.27,Red Soil,53,38,31,91.14,4212,Kharif
Basavakalyan,466,1249.66,21.25,Laterite Soil,66,24,37,81.57,4700,Kharif
Basavakalyan,1384,1392.69,30.39,Laterite Soil,71,34,34,71.06,4700,Kharif
Bidar,1256,1416.95,32.65,Black Soil,53,31,55,61.6,4700,Kharif
Aurad,779,917.18,22.36,Black Soil,51,45,54,82.13,4226,Kharif
Basavakalyan,964,1463.5,31.64,Red Soil,46,32,34,73.07,4700,Kharif
Aurad,688,926,27.24,Laterite Soil,49,25,39,91.77,4146,Kharif
Basavakalyan,358,1268.71,32.17,Red Soil,61,48,41,61.22,4590,Kharif
Aurad,1449,1316.03,22.29,Black Soil,79,36,46,61.37,4700,Kharif
Bhalki,641,964.41,30.3,Black Soil,52,46,43,93.23,4163,Kharif
Humnabad,447,928.81,20.78,Black Soil,47,39,55,93.77,4309,Kharif
Bidar,733,1370.95,31.48,Black Soil,47,29,34,60.97,4700,Kharif
Humnabad,207,1130.8,28.76,Black Soil,45,33,34,85.06,4426,Kharif
Basavakalyan,1469,964.27,24.81,Black Soil,68,34,53,67.75,4294,Kharif
Basavakalyan,545,1357.6,22.48,Red Soil,74,29,35,84.55,4700,Kharif
Bhalki,1235,1409.5,30.61,Red Soil,70,25,44,90.41,4700,Kharif
Basavakalyan,236,1252.43,27.84,Red Soil,47,48,56,63.53,4594,Kharif
Aurad,760,996.74,24.69,Laterite Soil,57,35,34,68.36,4292,Kharif
Humnabad,1297,909.13,25.77,Red Soil,56,21,58,60.84,4071,Kharif
Basavakalyan,795,1320.48,30.75,Black Soil,64,29,37,61.53,4700,Kharif
Bhalki,432,1230.08,24.41,Red Soil,52,24,30,61.04,4660,Kharif
Bidar,663,1290.48,21.17,Red Soil,46,46,50,88.02,4700,Kharif
Humnabad,1051,1387.91,31.85,Laterite Soil,55,28,32,70.44,4700,Kharif
Bhalki,978,1160.54,25.04,Black Soil,65,38,50,77.26,4662,Kharif
Bhalki,306,974.71,24.53,Laterite Soil,50,38,48,87.57,4291,Kharif
Humnabad,375,1463.99,22.66,Laterite Soil,63,28,44,77.32,4700,Kharif
Bhalki,982,1227.16,31.67,Laterite Soil,74,35,33,75.02,4661,Kharif
Bidar,415,1269.18,22.83,Red Soil,64,48,56,60.41,4700,Kharif
Bidar,1439,1460.05,28.28,Black Soil,54,38,54,79.88,4700,Kharif
Basavakalyan,1461,1458.95,31.45,Black Soil,68,39,31,64.37,4700,Kharif
Aurad,1465,1243.26,20.45,Laterite Soil,77,47,59,86.76,4700,Kharif
Basavakalyan,1493,1078.57,30.77,Black Soil,73,44,55,69.02,4386,Kharif
Aurad,622,1498.27,25.34,Black Soil,74,23,57,83.6,4700,Kharif
Humnabad,548,1308.49,28.55,Laterite Soil,50,24,46,82.62,4700,Kharif
Bhalki,1246,1145.06,24.84,Red Soil,58,37,41,81.58,4614,Kharif
Basavakalyan,677,1235.9,29.04,Laterite Soil,47,27,49,69.34,4557,Kharif
Bhalki,1256,1149.5,23.31,Laterite Soil,68,32,37,69.35,4671,Kharif
Basavakalyan,323,1432.98,20.29,Red Soil,63,28,58,90.21,4700,Kharif
Basavakalyan,1039,1189.5,32.32,Red Soil,78,29,34,60.45,4542,Kharif
Bidar,440,1394.12,20.21,Red Soil,53,23,54,66.35,4700,Kharif
Aurad,530,1404.11,30.71,Red Soil,74,38,39,81.36,4700,Kharif
Humnabad,712,1394.6,22.2,Laterite Soil,76,23,48,88.6,4700,Kharif
Bhalki,335,1333.31,25.1,Red Soil,57,48,58,72.54,4700,Rabi
Basavakalyan,1178,1412.93,30.69,Black Soil,62,32,38,82.87,4700,Rabi
Bhalki,1435,1132.34,22.68,Laterite Soil,66,42,45,79.5,4685,Kharif
Bidar,328,968.8,31.25,Laterite Soil,48,36,30,62.26,3999,Kharif
Humnabad,1315,1405.47,26.47,Red Soil,67,46,44,81.76,4700,Kharif
Aurad,1441,1198.9,24.76,Red Soil,51,30,31,88.49,4698,Kharif
Aurad,775,976.43,28.61,Black Soil,55,21,54,94.74,4251,Rabi
Basavakalyan,619,969.19,24.44,Red Soil,78,45,43,61.04,4345,Kharif
Humnabad,1154,995.55,24.51,Laterite Soil,49,24,54,83.1,4305,Kharif
Aurad,1150,1350.58,29.54,Red Soil,69,44,55,74.51,4700,Kharif
Humnabad,1241,1326.51,24.03,Black Soil,72,32,50,60.34,4700,Kharif
Bhalki,256,1022.29,22.61,Laterite Soil,58,41,45,81.5,4448,Kharif
